2018-08-20|ie|mobile|organic|google|m.dfs.ie|Ireland|3|5657.607755|5054.633333333333|355|20767|5378|437|1184
2018-08-20|ie|mobile|cpc|google|m.dfs.ie|Ireland|1|1124.348673|3301.8333333333335|284|16072|4063|461|891
2018-08-20|ie|mobile|organic|google|m.dfs.ie|United Kingdom|||168.65|33|520|173|46|62
2018-08-20|ie|mobile|(none)|(direct)|m.dfs.ie|United Kingdom|||12.883333333333333|8|170|29|15|16
2018-08-20|ie|mobile|cpc|google|m.dfs.ie|United Kingdom|||86.38333333333334||201|56|2|5
2018-08-20|ie|desktop|referral|l.facebook.com|m.dfs.ie|Ireland|||1.85||24|7|1|1
2018-08-20|ie|desktop|organic|google|www.dfs.ie|Ireland|2|1456.990903|3483.45|113|16931|3525|326|626
2018-08-20|ie|desktop|(none)|(direct)|www.dfs.ie|United Kingdom|||86.18333333333334|7|280|81|6|30
2018-08-20|ie|desktop|referral|tsys.arcot.com|www.dfs.ie|Ireland|1|733.426805|10.616666666666667||47|18||9
2018-08-20|ie|desktop|(none)|(direct)|www.dfs.ie|United States|||29.1|6|112|23|8|8
2018-08-20|ie|tablet|(none)|(direct)|www.dfs.ie|United Kingdom|||0.4166666666666667|1|15|5|1|3
2018-08-20|ie|desktop|organic|bing|www.dfs.ie|Ireland|||262.15|3|1440|255|26|40
2018-08-20|ie|desktop|cpc|google|www.dfs.ie|Ireland|3|3927.150865|1433.6333333333334|48|7732|1535|170|253
2018-08-20|ie|desktop|(none)|(direct)|www.dfs.ie|Ireland|||234.4|7|952|231|31|45
2018-08-20|ie|desktop|cpc|google|www.dfs.ie|(not set)|||0.15||10|2|1|1
2018-08-20|ie|desktop|referral|mail|www.dfs.ie|United Kingdom|||2.966666666666667||10|4||1
2018-08-20|ie|desktop|(none)|(direct)|www.dfs.ie|Poland|||0.6||14|3||1
2018-08-20|ie|tablet|cpc|google|www.dfs.ie|Ireland|||716.2333333333333|23|2746|586|56|103
2018-08-20|ie|desktop|organic|google|www.dfs.ie|Germany|||3.2||19|7|1|1
2018-08-20|ie|tablet|organic|bing|www.dfs.ie|Ireland|||40.4||248|63|4|12
2018-08-20|ie|desktop|display|independent|www.dfs.ie|Ireland|||15.333333333333334|1|128|19|4|4
2018-08-20|ie|desktop|organic|google|www.dfs.ie|Belgium|||76.3||330|42|1|4
2018-08-20|uk|mobile|cpc|google|m.dfs.co.uk|United Kingdom|87|111574.0|76351.0|5886|340157|89159|4969|18903
2018-08-20|uk|mobile|organic|google|m.dfs.co.uk|United Kingdom|86|117194.0|97744.08333333333|6904|421655|104180|10044|22894
2018-08-20|uk|mobile|organic|google|m.dfs.co.uk|Pakistan|||43.733333333333334||87|23|4|8
2018-08-20|uk|desktop|referral|secure5.arcot.com|m.dfs.co.uk|United Kingdom|1|518.0|0.03333333333333333||3|1||1
2018-08-20|uk|mobile|email|jaywing|m.dfs.co.uk|United Kingdom|2|1636.0|657.95|83|2477|753|46|184
2018-08-20|uk|mobile|referral|l.facebook.com|m.dfs.co.uk|United Kingdom|||181.81666666666666|3|822|228|16|35
2018-08-20|uk|mobile|referral|secure7.arcot.com|m.dfs.co.uk|United Kingdom|9|11448.0|120.66666666666667|9|436|168|1|66
2018-08-20|uk|mobile|referral|secure4.arcot.com|m.dfs.co.uk|United Kingdom|6|6805.0|229.73333333333332|7|431|174|1|51
2018-08-20|uk|mobile|(none)|(direct)|m.dfs.co.uk|India|||39.96666666666667|16|583|59|24|25
2018-08-20|uk|mobile|organic|google|m.dfs.co.uk|Portugal|||46.3|2|142|36|5|8
2018-08-20|uk|desktop|(none)|(direct)|m.dfs.co.uk|Philippines||||1|4|1|1|1
2018-08-20|uk|tablet|organic|google|m.dfs.co.uk|Spain|||0.31666666666666665|1|9|3|2|2
2018-08-20|uk|mobile|cpc|bing|m.dfs.co.uk|United Kingdom|||1721.7|215|6846|1755|228|475
2018-08-20|uk|tablet|organic|google|m.dfs.co.uk|United Kingdom|||388.31666666666666|12|1928|432|33|90
2018-08-20|uk|mobile|referral|danskebank-3dsecure.wlp-acs.com|m.dfs.co.uk|United Kingdom|1|538.0|0.5166666666666667||14|4||3
2018-08-20|uk|mobile|organic|google|m.dfs.co.uk|Egypt|||0.23333333333333334|1|7|3||2
2018-08-20|uk|mobile|(none)|(direct)|m.dfs.co.uk|Ireland|||156.01666666666668|14|740|175|36|49
2018-08-20|uk|desktop|(none)|(direct)|m.dfs.co.uk|United States|||85.1|15|144|58|26|26
2018-08-20|uk|mobile|(none)|(direct)|m.dfs.co.uk|Australia|||45.46666666666667|4|120|35|10|13
